ORPHAcode,fenotipo_id,Muy frecuente (80 - 99 %),Frecuente (30 - 79 %),Ocasional (5 - 29 %),Muy rara (1 - 4 %),Excluida (0 %),Siempre (100 %)
141,HP:0001250,0,0,1,0,0,0
141,HP:0001252,0,1,0,0,0,0
141,HP:0001263,1,0,0,0,0,0
141,HP:0001276,0,1,0,0,0,0
141,HP:0001371,0,0,1,0,0,0
141,HP:0002020,0,1,0,0,0,0
141,HP:0002353,1,0,0,0,0,0
141,HP:0002376,0,0,1,0,0,0
141,HP:0004372,1,0,0,0,0,0
141,HP:0007703,0,0,1,0,0,0
141,HP:0008872,1,0,0,0,0,0
141,HP:0100543,1,0,0,0,0,0
213,HP:0000093,1,0,0,0,0,0
213,HP:0000112,1,0,0,0,0,0
213,HP:0000124,1,0,0,0,0,0
213,HP:0000613,1,0,0,0,0,0
213,HP:0000821,1,0,0,0,0,0
213,HP:0000823,1,0,0,0,0,0
213,HP:0001324,1,0,0,0,0,0
213,HP:0001508,1,0,0,0,0,0
213,HP:0001944,1,0,0,0,0,0
213,HP:0001959,1,0,0,0,0,0
213,HP:0001994,1,0,0,0,0,0
213,HP:0002013,1,0,0,0,0,0
213,HP:0002148,1,0,0,0,0,0
213,HP:0002900,1,0,0,0,0,0
213,HP:0003198,1,0,0,0,0,0
213,HP:0003355,1,0,0,0,0,0
213,HP:0004322,1,0,0,0,0,0
213,HP:0007957,1,0,0,0,0,0
213,HP:0009806,1,0,0,0,0,0
213,HP:0012378,1,0,0,0,0,0
213,HP:0100651,1,0,0,0,0,0
213,HP:0000083,0,1,0,0,0,0
213,HP:0000121,0,1,0,0,0,0
213,HP:0000135,0,1,0,0,0,0
213,HP:0000488,0,1,0,0,0,0
213,HP:0000585,0,1,0,0,0,0
213,HP:0000787,0,1,0,0,0,0
213,HP:0001510,0,1,0,0,0,0
213,HP:0001744,0,1,0,0,0,0
213,HP:0001942,0,0,1,0,0,0
213,HP:0002240,0,1,0,0,0,0
213,HP:0002748,0,1,0,0,0,0
213,HP:0002749,0,1,0,0,0,0
213,HP:0002901,0,1,0,0,0,0
213,HP:0003076,0,1,0,0,0,0
213,HP:0003109,0,1,0,0,0,0
213,HP:0003155,0,1,0,0,0,0
213,HP:0003458,0,1,0,0,0,0
213,HP:0011968,0,1,0,0,0,0
213,HP:0012072,0,1,0,0,0,0
213,HP:0000027,0,0,1,0,0,0
213,HP:0000505,0,0,1,0,0,0
213,HP:0001252,0,0,1,0,0,0
213,HP:0001256,0,0,1,0,0,0
213,HP:0001288,0,0,1,0,0,0
213,HP:0001409,0,0,1,0,0,0
213,HP:0001738,0,0,1,0,0,0
213,HP:0001945,0,0,1,0,0,0
213,HP:0001952,0,0,1,0,0,0
213,HP:0002019,0,0,1,0,0,0
213,HP:0002024,0,0,1,0,0,0
213,HP:0002381,0,0,1,0,0,0
213,HP:0002902,0,0,1,0,0,0
213,HP:0003234,0,0,1,0,0,0
213,HP:0006824,0,0,1,0,0,0
213,HP:0012093,0,0,1,0,0,0
349,HP:0000164,0,0,1,0,0,0
349,HP:0000248,1,0,0,0,0,0
349,HP:0000280,1,0,0,0,0,0
349,HP:0000365,1,0,0,0,0,0
349,HP:0000821,1,0,0,0,0,0
349,HP:0000943,1,0,0,0,0,0
349,HP:0000975,1,0,0,0,0,0
349,HP:0001063,0,0,1,0,0,0
349,HP:0001250,0,1,0,0,0,0
349,HP:0001252,0,1,0,0,0,0
349,HP:0001257,0,1,0,0,0,0
349,HP:0001263,1,0,0,0,0,0
349,HP:0001508,1,0,0,0,0,0
349,HP:0001597,0,0,1,0,0,0
349,HP:0001626,0,1,0,0,0,0
349,HP:0001640,0,0,1,0,0,0
349,HP:0001999,1,0,0,0,0,0
349,HP:0002240,1,0,0,0,0,0
349,HP:0002510,0,1,0,0,0,0
349,HP:0002808,1,0,0,0,0,0
349,HP:0003199,0,1,0,0,0,0
349,HP:0005264,0,1,0,0,0,0
349,HP:0005595,1,0,0,0,0,0
349,HP:0007256,0,0,1,0,0,0
349,HP:0007957,0,1,0,0,0,0
349,HP:0008155,1,0,0,0,0,0
349,HP:0008430,1,0,0,0,0,0
349,HP:0010864,1,0,0,0,0,0
349,HP:0011220,1,0,0,0,0,0
349,HP:0011276,0,1,0,0,0,0
349,HP:0100578,1,0,0,0,0,0
366,HP:0000293,1,0,0,0,0,0
366,HP:0001256,1,0,0,0,0,0
366,HP:0001943,1,0,0,0,0,0
366,HP:0002155,1,0,0,0,0,0
366,HP:0002721,1,0,0,0,0,0
366,HP:0003198,0,1,0,0,0,0
366,HP:0004322,1,0,0,0,0,0
487,HP:0000365,1,0,0,0,0,0
487,HP:0000407,1,0,0,0,0,0
487,HP:0000505,1,0,0,0,0,0
487,HP:0000708,1,0,0,0,0,0
487,HP:0000763,1,0,0,0,0,0
487,HP:0001172,1,0,0,0,0,0
487,HP:0001251,1,0,0,0,0,0
487,HP:0001257,1,0,0,0,0,0
487,HP:0001263,1,0,0,0,0,0
487,HP:0001939,1,0,0,0,0,0
487,HP:0002676,1,0,0,0,0,0
487,HP:0003457,1,0,0,0,0,0
487,HP:0009830,1,0,0,0,0,0
487,HP:0010318,1,0,0,0,0,0
487,HP:0011968,1,0,0,0,0,0
487,HP:0034322,1,0,0,0,0,0
487,HP:0000737,0,1,0,0,0,0
487,HP:0001250,0,1,0,0,0,0
487,HP:0001288,0,1,0,0,0,0
487,HP:0001508,0,1,0,0,0,0
487,HP:0001945,0,1,0,0,0,0
487,HP:0002013,0,1,0,0,0,0
487,HP:0002123,0,1,0,0,0,0
487,HP:0002205,0,1,0,0,0,0
487,HP:0002313,0,1,0,0,0,0
487,HP:0002376,0,1,0,0,0,0
487,HP:0003134,0,1,0,0,0,0
487,HP:0004374,0,1,0,0,0,0
487,HP:0033031,0,1,0,0,0,0
487,HP:0000020,0,0,1,0,0,0
487,HP:0000618,0,0,1,0,0,0
487,HP:0000648,0,0,1,0,0,0
487,HP:0001188,0,0,1,0,0,0
487,HP:0001265,0,0,1,0,0,0
487,HP:0001324,0,0,1,0,0,0
487,HP:0001336,0,0,1,0,0,0
487,HP:0001761,0,0,1,0,0,0
487,HP:0001824,0,0,1,0,0,0
487,HP:0002179,0,0,1,0,0,0
487,HP:0002312,0,0,1,0,0,0
487,HP:0002355,0,0,1,0,0,0
487,HP:0002359,0,0,1,0,0,0
487,HP:0002421,0,0,1,0,0,0
487,HP:0002445,0,0,1,0,0,0
487,HP:0002878,0,0,1,0,0,0
487,HP:0002922,0,0,1,0,0,0
487,HP:0025013,0,0,1,0,0,0
487,HP:0030211,0,0,1,0,0,0
487,HP:0100639,0,0,1,0,0,0
487,HP:0100963,0,0,1,0,0,0
371,HP:0001324,0,1,0,0,0,0
371,HP:0001903,1,0,0,0,0,0
371,HP:0002149,0,1,0,0,0,0
371,HP:0002486,1,0,0,0,0,0
371,HP:0003202,0,1,0,0,0,0
371,HP:0009051,1,0,0,0,0,0
583,HP:0000179,1,0,0,0,0,0
583,HP:0000246,1,0,0,0,0,0
583,HP:0000280,1,0,0,0,0,0
583,HP:0000389,1,0,0,0,0,0
583,HP:0000944,1,0,0,0,0,0
583,HP:0001387,1,0,0,0,0,0
583,HP:0001508,1,0,0,0,0,0
583,HP:0002656,1,0,0,0,0,0
583,HP:0002788,1,0,0,0,0,0
583,HP:0003521,1,0,0,0,0,0
583,HP:0007759,1,0,0,0,0,0
583,HP:0008155,1,0,0,0,0,0
583,HP:0009928,1,0,0,0,0,0
583,HP:0000365,0,1,0,0,0,0
583,HP:0000470,0,1,0,0,0,0
583,HP:0000885,0,1,0,0,0,0
583,HP:0001744,0,1,0,0,0,0
583,HP:0002808,0,1,0,0,0,0
583,HP:0002857,0,1,0,0,0,0
583,HP:0003300,0,1,0,0,0,0
583,HP:0100790,0,1,0,0,0,0
583,HP:0000158,0,0,1,0,0,0
583,HP:0000505,0,0,1,0,0,0
583,HP:0001654,0,0,1,0,0,0
583,HP:0002564,0,0,1,0,0,0
583,HP:0030680,0,0,1,0,0,0
583,HP:0100543,0,0,1,0,0,0
812,HP:0000179,1,0,0,0,0,0
812,HP:0000280,1,0,0,0,0,0
812,HP:0000407,1,0,0,0,0,0
812,HP:0000431,1,0,0,0,0,0
812,HP:0000488,1,0,0,0,0,0
812,HP:0000505,1,0,0,0,0,0
812,HP:0000518,0,0,1,0,0,0
812,HP:0000529,1,0,0,0,0,0
812,HP:0000639,1,0,0,0,0,0
812,HP:0000762,0,1,0,0,0,0
812,HP:0000768,1,0,0,0,0,0
812,HP:0000943,1,0,0,0,0,0
812,HP:0000962,1,0,0,0,0,0
812,HP:0001249,0,1,0,0,0,0
812,HP:0001250,1,0,0,0,0,0
812,HP:0001251,1,0,0,0,0,0
812,HP:0001252,0,1,0,0,0,0
812,HP:0001288,1,0,0,0,0,0
812,HP:0001324,0,1,0,0,0,0
812,HP:0001336,1,0,0,0,0,0
812,HP:0001337,0,1,0,0,0,0
