ORPHAcode,nombre_enfermedad,tipo_enfermedad,prevalencia_tipo,prevalencia_final,region_prevalencia,calidad_prevalencia,estado_validacion_prevalencia
443197,X-linked erythropoietic protoporphyria,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
3008,Pyruvate carboxylase deficiency,Disease,Prevalence at birth,0.4,Europe,Value and class,Validated
3008,Pyruvate carboxylase deficiency,Disease,Point prevalence,,Worldwide,Class only,Validated
443192,Classic stiff person syndrome,Clinical subtype,Point prevalence,,Europe,Class only,Not yet validated
595,Centronuclear myopathy,Clinical group,Point prevalence,,Worldwide,Class only,Validated
298,Mitochondrial neurogastrointestinal encephalomyopathy,Disease,Point prevalence,0.1,Europe,Value and class,Validated
298,Mitochondrial neurogastrointestinal encephalomyopathy,Disease,Prevalence at birth,0.3,Israel,Value and class,Validated
298,Mitochondrial neurogastrointestinal encephalomyopathy,Disease,Prevalence at birth,0.5,Specific population,Value and class,Validated
396,Chronic hiccup,Disease,Point prevalence,1.0,Europe,Value and class,Validated
443236,Postural orthostatic tachycardia syndrome due to NET deficiency,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
443236,Postural orthostatic tachycardia syndrome due to NET deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
552,MODY,Disease,Point prevalence,0.0003,Europe,Class only,Validated
552,MODY,Disease,Point prevalence,10.0,United Kingdom,Value and class,Validated
854,Non-malignant and non-cirrhotic portal vein thrombosis,Clinical syndrome,Point prevalence,3.7,Sweden,Value and class,Validated
854,Non-malignant and non-cirrhotic portal vein thrombosis,Clinical syndrome,Annual incidence,0.7,Sweden,Value and class,Validated
854,Non-malignant and non-cirrhotic portal vein thrombosis,Clinical syndrome,Point prevalence,,Europe,Class only,Validated
854,Non-malignant and non-cirrhotic portal vein thrombosis,Clinical syndrome,Annual incidence,2.75,Italy,Value and class,Validated
854,Non-malignant and non-cirrhotic portal vein thrombosis,Clinical syndrome,Annual incidence,1.72,Europe,Value and class,Validated
443098,Hyperostosis cranialis interna,Disease,Cases/families,13.0,Worldwide,Case(s),Validated
443098,Hyperostosis cranialis interna,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
443087,"46,XY difference of sex development due to testicular 17,20-desmolase deficiency",Disease,Cases/families,2.0,Worldwide,Family(ies),Validated
443087,"46,XY difference of sex development due to testicular 17,20-desmolase deficiency",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
130,Brugada syndrome,Disease,Point prevalence,20.0,Europe,Value and class,Not yet validated
130,Brugada syndrome,Disease,Point prevalence,75.0,South East Asia,Value and class,Not yet validated
277,Severe combined immunodeficiency due to adenosine deaminase deficiency,Disease,Prevalence at birth,0.3,Europe,Value and class,Validated
277,Severe combined immunodeficiency due to adenosine deaminase deficiency,Disease,Point prevalence,0.2,Europe,Value and class,Validated
443162,NDE1-related microhydranencephaly,Malformation syndrome,Cases/families,1.0,Worldwide,Family(ies),Validated
443162,NDE1-related microhydranencephaly,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
443804,Focal stiff limb syndrome,Clinical subtype,Point prevalence,,Worldwide,Class only,Validated
443804,Focal stiff limb syndrome,Clinical subtype,Point prevalence,,Europe,Class only,Validated
443811,PGM3-CDG,Disease,Cases/families,20.0,Worldwide,Case(s),Validated
443811,PGM3-CDG,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
443950,DNAJB2-related Charcot-Marie-Tooth disease type 2,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
443950,DNAJB2-related Charcot-Marie-Tooth disease type 2,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
443988,Ventriculomegaly-cystic kidney disease,Disease,Cases/families,11.0,Worldwide,Case(s),Validated
443988,Ventriculomegaly-cystic kidney disease,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
444092,Autoimmune interstitial lung disease-arthritis syndrome,Disease,Cases/families,5.0,Worldwide,Family(ies),Validated
444092,Autoimmune interstitial lung disease-arthritis syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
444099,Autosomal dominant spastic paraplegia type 73,Disease,Cases/families,1.0,Worldwide,Family(ies),Validated
444099,Autosomal dominant spastic paraplegia type 73,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
444138,Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome,Disease,Cases/families,4.0,Worldwide,Case(s),Validated
444138,Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
444002,11q22.2q22.3 microdeletion syndrome,Malformation syndrome,Cases/families,5.0,Worldwide,Case(s),Validated
444002,11q22.2q22.3 microdeletion syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
443995,Mandibulofacial dysostosis with alopecia,Malformation syndrome,Cases/families,4.0,Worldwide,Case(s),Validated
443995,Mandibulofacial dysostosis with alopecia,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
444048,"46,XX ovarian dysgenesis-short stature syndrome",Disease,Cases/families,3.0,Worldwide,Case(s),Validated
444048,"46,XX ovarian dysgenesis-short stature syndrome",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
444013,Combined oxidative phosphorylation defect type 23,Disease,Cases/families,11.0,Worldwide,Case(s),Validated
444013,Combined oxidative phosphorylation defect type 23,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
444069,Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome,Malformation syndrome,Cases/families,4.0,Worldwide,Case(s),Validated
444069,Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
444051,20q11.2 microdeletion syndrome,Malformation syndrome,Cases/families,11.0,Worldwide,Case(s),Validated
444051,20q11.2 microdeletion syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
444077,Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome,Malformation syndrome,Cases/families,11.0,Worldwide,Case(s),Validated
444077,Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
444072,Cerebellar-facial-dental syndrome,Malformation syndrome,Cases/families,3.0,Worldwide,Family(ies),Validated
444072,Cerebellar-facial-dental syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
444463,Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome due to TPP2 deficiency,Disease,Cases/families,6.0,Worldwide,Case(s),Validated
444463,Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome due to TPP2 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
444490,Familial chylomicronemia syndrome,Disease,Annual incidence,0.1,United States,Value and class,Validated
444490,Familial chylomicronemia syndrome,Disease,Point prevalence,0.97,Europe,Value and class,Validated
444458,Combined oxidative phosphorylation defect type 24,Disease,Cases/families,3.0,Worldwide,Case(s),Validated
444458,Combined oxidative phosphorylation defect type 24,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
445110,Limb-girdle muscular dystrophy due to POMK deficiency,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
445110,Limb-girdle muscular dystrophy due to POMK deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
445062,Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome,Disease,Cases/families,5.0,Worldwide,Case(s),Validated
445062,Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
445038,3-methylglutaconic aciduria-neonatal cataract-neurologic involvement-congenital neutropenia syndrome,Disease,Cases/families,22.0,Worldwide,Case(s),Validated
445038,3-methylglutaconic aciduria-neonatal cataract-neurologic involvement-congenital neutropenia syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
445018,Combined immunodeficiency due to LRBA deficiency,Disease,Cases/families,23.0,Worldwide,Case(s),Validated
445018,Combined immunodeficiency due to LRBA deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
447731,NIK deficiency,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
447731,NIK deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
447737,Combined immunodeficiency due to DOCK2 deficiency,Disease,Cases/families,5.0,Worldwide,Case(s),Validated
447737,Combined immunodeficiency due to DOCK2 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
447881,Idiopathic dropped head syndrome,Clinical syndrome,Point prevalence,,Worldwide,Class only,Not yet validated
447896,Tremor-ataxia-central hypomyelination syndrome,Clinical subtype,Cases/families,7.0,Worldwide,Case(s),Validated
447896,Tremor-ataxia-central hypomyelination syndrome,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
447893,Hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome,Clinical subtype,Cases/families,4.0,Worldwide,Case(s),Validated
447893,Hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
447788,Cerebral visual impairment,Clinical syndrome,Point prevalence,,Worldwide,Class only,Validated
447795,Lipoyl transferase 2 deficiency,Biological anomaly,Point prevalence,,Worldwide,Class only,Validated
447784,Mitochondrial pyruvate carrier deficiency,Disease,Cases/families,4.0,Worldwide,Case(s),Validated
447784,Mitochondrial pyruvate carrier deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
447757,Autosomal dominant spastic paraplegia type 9B,Disease,Cases/families,3.0,Worldwide,Family(ies),Validated
447757,Autosomal dominant spastic paraplegia type 9B,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
447753,Autosomal dominant spastic paraplegia type 9A,Disease,Cases/families,2.0,Worldwide,Family(ies),Validated
447753,Autosomal dominant spastic paraplegia type 9A,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
447760,Autosomal recessive spastic paraplegia type 9B,Disease,Cases/families,2.0,Worldwide,Family(ies),Validated
447760,Autosomal recessive spastic paraplegia type 9B,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
412066,PRKAR1B-related neurodegenerative dementia with intermediate filaments,Disease,Cases/families,12.0,Worldwide,Case(s),Validated
412066,PRKAR1B-related neurodegenerative dementia with intermediate filaments,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
412057,Autosomal recessive cerebellar ataxia due to STUB1 deficiency,Disease,Cases/families,10.0,Worldwide,Family(ies),Validated
412057,Autosomal recessive cerebellar ataxia due to STUB1 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
412181,Epidermolysis bullosa simplex due to BP230 deficiency,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
412181,Epidermolysis bullosa simplex due to BP230 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
412069,AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome,Malformation syndrome,Cases/families,4.0,Worldwide,Case(s),Validated
412069,AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
412189,Epidermolysis bullosa simplex due to exophilin 5 deficiency,Disease,Cases/families,3.0,Worldwide,Case(s),Validated
412189,Epidermolysis bullosa simplex due to exophilin 5 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
412217,Dystonia-aphonia syndrome,Disease,Cases/families,32.0,Worldwide,Case(s),Validated
412217,Dystonia-aphonia syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Point prevalence,,Worldwide,Class only,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.115,Europe,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.063,Austria,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.025,Belgium,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.08,Bulgaria,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.034,Croatia,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.092,Czech Republic,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.176,Estonia,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.065,Finland,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.08,France,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.079,Germany,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.043,Iceland,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.207,Ireland,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.1,Italy,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.401,Latvia,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.137,Lithuania,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.031,Malta,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.046,Norway,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.04,Poland,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.115,Portugal,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.111,Slovakia,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.1,Slovenia,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.128,Spain,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.051,Switzerland,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.053,Netherlands,Value and class,Validated
418959,Squamous cell carcinoma of the stomach,Disease,Annual incidence,0.18,United Kingdom,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.004,Europe,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.003,Austria,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.017,Belgium,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.002,Bulgaria,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.007,Czech Republic,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.009,Estonia,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.002,Finland,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.004,Germany,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.009,Ireland,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.001,Italy,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.003,Poland,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.013,Slovakia,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.006,Slovenia,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.003,Spain,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.002,Netherlands,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.005,France,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.008,Portugal,Value and class,Validated
418945,"Carcinoma of esophagus, salivary gland type",Disease,Annual incidence,0.004,United Kingdom,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.044,Europe,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.029,Austria,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.077,Belgium,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.027,Bulgaria,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.006,Croatia,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.115,Czech Republic,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.037,Estonia,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.002,Finland,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.118,France,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.042,Germany,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.085,Iceland,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.012,Ireland,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.041,Italy,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.087,Latvia,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.021,Lithuania,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.038,Norway,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.101,Poland,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.021,Portugal,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.082,Slovakia,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.013,Slovenia,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.051,Spain,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.023,Switzerland,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.025,Netherlands,Value and class,Validated
418951,Undifferentiated carcinoma of esophagus,Disease,Annual incidence,0.039,United Kingdom,Value and class,Validated
420179,Malan overgrowth syndrome,Malformation syndrome,Cases/families,20.0,Worldwide,Case(s),Validated
420179,Malan overgrowth syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
415286,Bilirubin encephalopathy,Clinical group,Point prevalence,,Worldwide,Class only,Validated
420789,Autoimmune encephalopathy with parasomnia and obstructive sleep apnea,Disease,Cases/families,10.0,Worldwide,Case(s),Validated
420789,Autoimmune encephalopathy with parasomnia and obstructive sleep apnea,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420794,Cono-spondylar dysplasia,Malformation syndrome,Cases/families,3.0,Worldwide,Case(s),Validated
420794,Cono-spondylar dysplasia,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
420702,Autosomal recessive severe congenital neutropenia due to CSF3R deficiency,Disease,Cases/families,4.0,Worldwide,Case(s),Validated
420702,Autosomal recessive severe congenital neutropenia due to CSF3R deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420728,Combined oxidative phosphorylation defect type 20,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
420728,Combined oxidative phosphorylation defect type 20,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420733,Combined oxidative phosphorylation defect type 21,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
420733,Combined oxidative phosphorylation defect type 21,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420741,RIDDLE syndrome,Malformation syndrome,Cases/families,2.0,Worldwide,Case(s),Validated
420741,RIDDLE syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
420492,"Adult-onset cervical dystonia, DYT23 type",Disease,Cases/families,2.0,Worldwide,Family(ies),Validated
420492,"Adult-onset cervical dystonia, DYT23 type",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420402,Semicircular canal dehiscence syndrome,Clinical syndrome,Point prevalence,,Worldwide,Class only,Not yet validated
420429,"Glycogen storage disease due to acid maltase deficiency, late-onset",Clinical subtype,Prevalence at birth,1.75,Worldwide,Value and class,Validated
420584,Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,Malformation syndrome,Cases/families,112.0,Worldwide,Case(s),Validated
420584,Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
420699,Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
420699,Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420686,Woolly hair-palmoplantar keratoderma syndrome,Disease,Cases/families,8.0,Worldwide,Case(s),Validated
420686,Woolly hair-palmoplantar keratoderma syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Not yet validated
420561,Temple-Baraitser syndrome,Disease,Cases/families,9.0,Worldwide,Case(s),Validated
420561,Temple-Baraitser syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420573,Severe combined immunodeficiency due to CTPS1 deficiency,Disease,Cases/families,12.0,Worldwide,Case(s),Validated
420573,Severe combined immunodeficiency due to CTPS1 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
420566,Bleeding disorder due to CalDAG-GEFI deficiency,Disease,Cases/families,3.0,Worldwide,Case(s),Validated
420566,Bleeding disorder due to CalDAG-GEFI deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
423461,Mucolipidosis type III alpha/beta,Clinical subtype,Point prevalence,13.0,Worldwide,Value and class,Validated
423470,Mucolipidosis type III gamma,Clinical subtype,Point prevalence,,Worldwide,Class only,Validated
423454,Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,Disease,Cases/families,6.0,Worldwide,Case(s),Validated
423454,Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
423384,Severe congenital neutropenia due to JAGN1 deficiency,Disease,Cases/families,14.0,Worldwide,Case(s),Validated
423384,Severe congenital neutropenia due to JAGN1 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
423296,Spinocerebellar ataxia type 38,Disease,Cases/families,4.0,Worldwide,Family(ies),Validated
423296,Spinocerebellar ataxia type 38,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
423306,Microcephaly-short stature-intellectual disability-facial dysmorphism syndrome,Malformation syndrome,Cases/families,2.0,Worldwide,Case(s),Validated
423306,Microcephaly-short stature-intellectual disability-facial dysmorphism syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
423479,X-linked intellectual disability-limb spasticity-retinal dystrophy-arginine vasopressin deficiency,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
423479,X-linked intellectual disability-limb spasticity-retinal dystrophy-arginine vasopressin deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
422526,Hereditary clear cell renal cell carcinoma,Disease,Point prevalence,,Worldwide,Class only,Validated
423275,Spinocerebellar ataxia type 40,Disease,Cases/families,5.0,Worldwide,Case(s),Validated
423275,Spinocerebellar ataxia type 40,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.003,Europe,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.003,Austria,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.008,Belgium,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.003,Croatia,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.011,Czech Republic,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.005,France,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.004,Germany,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.005,Italy,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.003,Norway,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.009,Spain,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.002,Netherlands,Value and class,Validated
424065,Solid pseudopapillary carcinoma of pancreas,Disease,Annual incidence,0.001,United Kingdom,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.011,Europe,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.017,Belgium,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.028,Czech Republic,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.031,France,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.048,Germany,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.006,Ireland,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.006,Italy,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.041,Norway,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.006,Portugal,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.018,Spain,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.028,Switzerland,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.016,Netherlands,Value and class,Validated
424058,Intraductal papillary mucinous carcinoma of pancreas,Disease,Annual incidence,0.001,United Kingdom,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.002,Belgium,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.006,Czech Republic,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.003,France,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.001,Germany,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.043,Iceland,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.001,Italy,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.004,Lithuania,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.004,Netherlands,Value and class,Validated
424080,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Disease,Annual incidence,0.001,Europe,Value and class,Validated
424073,Serous cystadenocarcinoma of pancreas,Disease,Annual incidence,1e-06,Europe,Class only,Validated
424073,Serous cystadenocarcinoma of pancreas,Disease,Annual incidence,0.002,Belgium,Value and class,Validated
