ORPHAcode,nombre_enfermedad,tipo_enfermedad,edad_media_inicio,tipo_herencia
2177,Hydranencephaly,Malformation syndrome,"['Antenatal', 'Neonatal']","['Autosomal recessive', 'Unknown']"
2180,Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome,Malformation syndrome,['Neonatal'],['Unknown']
2181,Hydrocephaly-tall stature-joint laxity syndrome,Malformation syndrome,['Infancy'],['Autosomal recessive']
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,Clinical subtype,"['Antenatal', 'Neonatal']",['X-linked recessive']
2183,Hydrocephalus-obesity-hypogonadism syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['X-linked recessive']
2184,Hydrocephaly-low insertion umbilicus syndrome,Malformation syndrome,['Neonatal'],[]
2185,Congenital hydrocephalus,Malformation syndrome,['Antenatal'],['Not applicable']
2186,Hydrocephalus-blue sclerae-nephropathy syndrome,Malformation syndrome,['No data available'],['Unknown']
2189,Hydrolethalus,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2195,Dicarboxylic aminoaciduria,Disease,"['Infancy', 'Neonatal']",[]
2196,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,Clinical subtype,['Childhood'],['Autosomal recessive']
2197,Idiopathic hypercalciuria,Disease,"['Adolescent', 'Adult', 'Childhood']",['Autosomal dominant']
2198,Palmoplantar keratoderma-esophageal carcinoma syndrome,Disease,"['Adolescent', 'Adult']",['Autosomal dominant']
2199,Epidermolytic palmoplantar keratoderma,Disease,"['Infancy', 'Neonatal']",[]
2200,Focal palmoplantar and gingival keratoderma,Disease,['Childhood'],[]
2201,Palmoplantar keratoderma-spastic paralysis syndrome,Disease,['All ages'],['Autosomal dominant']
2202,Palmoplantar keratoderma-deafness syndrome,Disease,['Childhood'],"['Autosomal dominant', 'Mitochondrial inheritance']"
2203,Hyperlysinemia,Disease,['All ages'],['Autosomal recessive']
2204,"Dysplastic cortical hyperostosis, Kozlowski-Tsuruta type",Clinical subtype,['Antenatal'],[]
2206,Ankylosing vertebral hyperostosis with tylosis,Malformation syndrome,['Adult'],['Autosomal dominant']
2207,Familial primary hyperparathyroidism,Clinical group,['Childhood'],['Autosomal dominant']
2209,Maternal phenylketonuria,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2211,Hypertelorism-hypospadias-polysyndactyly syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2213,Hypertelorism-microtia-facial clefting syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2215,Multiple pterygium-malignant hyperthermia syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2216,Maternal hyperthermia-induced birth defects,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2218,Cervical hypertrichosis-peripheral neuropathy syndrome,Disease,['Childhood'],['Autosomal recessive']
2220,Hypertrichosis cubiti,Malformation syndrome,['Childhood'],['Autosomal dominant']
2221,Acquired hypertrichosis lanuginosa,Disease,['Adult'],['Not applicable']
2222,Hypertrichosis lanuginosa congenita,Disease,['Childhood'],['Autosomal dominant']
2224,Hypertryptophanemia,Disease,"['Childhood', 'Infancy', 'Neonatal']",['Autosomal recessive']
2228,Hypodontia-dysplasia of nails syndrome,Malformation syndrome,['Childhood'],['Autosomal dominant']
2229,Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2230,Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,Disease,['Childhood'],['Autosomal dominant']
2232,Primary hypergonadotropic hypogonadism-partial alopecia syndrome,Disease,['Neonatal'],['Autosomal recessive']
2233,Hypogonadism-mitral valve prolapse-intellectual disability syndrome,Disease,['Infancy'],['Unknown']
2234,Male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome,Malformation syndrome,['Neonatal'],['Unknown']
2235,Hypogonadotropic hypogonadism-retinitis pigmentosa syndrome,Disease,['No data available'],['Unknown']
2237,Hypoparathyroidism-sensorineural deafness-renal disease syndrome,Malformation syndrome,['All ages'],['Autosomal dominant']
2238,Familial isolated hypoparathyroidism,Disease,['All ages'],"['Autosomal dominant', 'Autosomal recessive', 'X-linked recessive']"
2239,Familial isolated hypoparathyroidism due to agenesis of parathyroid gland,Clinical subtype,"['Infancy', 'Neonatal']","['Autosomal recessive', 'X-linked recessive']"
