ORPHAcode,nombre_enfermedad
535,Rare cutaneous lupus erythematosus
536,Systemic lupus erythematosus
537,Toxic epidermal necrolysis
538,Lymphangioleiomyomatosis
540,Familial hemophagocytic lymphohistiocytosis
541,Primary cutaneous CD30+ T-cell lymphoproliferative disease
542,Primary cutaneous lymphoma
543,Burkitt lymphoma
544,Diffuse large B-cell lymphoma
545,Follicular lymphoma
547,Non-Hodgkin lymphoma
548,Leprosy
549,Legionnaires disease
550,MELAS
551,MERRF
552,MODY
556,Malakoplakia
557,Non-syndromic anorectal malformation
558,Marfan syndrome
559,Marinesco-Sjögren syndrome
560,Marshall syndrome
561,Marshall-Smith syndrome
562,McCune-Albright syndrome
563,Peripartum cardiomyopathy
564,Meckel syndrome
565,Menkes disease
566,Congenital microcoria
567,22q11.2 deletion syndrome
568,"Microphthalmia, Lenz type"
569,Familial or sporadic hemiplegic migraine
570,Moebius syndrome
572,Immunodeficiency by defective expression of MHC class II
573,Monilethrix
574,21q deletion syndrome
575,Muckle-Wells syndrome
576,Mucolipidosis type II
577,Mucolipidosis type III
578,Mucolipidosis type IV
579,Mucopolysaccharidosis type 1
580,Mucopolysaccharidosis type 2
581,Mucopolysaccharidosis type 3
582,Mucopolysaccharidosis type 4
583,Mucopolysaccharidosis type 6
584,Mucopolysaccharidosis type 7
585,Multiple sulfatase deficiency
586,Cystic fibrosis
588,Muscle-eye-brain disease
589,Myasthenia gravis
590,Congenital myasthenic syndrome
591,Furuncular myiasis
592,Macrophagic myofasciitis
593,Myofibrillar myopathy
595,Centronuclear myopathy
596,X-linked centronuclear myopathy
597,Central core disease
598,Multiminicore myopathy
599,Distal myopathy
600,Vocal cord and pharyngeal distal myopathy
602,GNE myopathy
603,"Distal myopathy, Welander type"
606,Proximal myotonic myopathy
607,Nemaline myopathy
609,Tibial muscular dystrophy
610,Bethlem muscular dystrophy
611,Inclusion body myositis
612,Potassium-aggravated myotonia
614,Thomsen and Becker disease
615,Familial atrial myxoma
616,Medulloblastoma
617,Congenital primary megaureter
618,Familial melanoma
621,Hereditary methemoglobinemia
622,Homocystinuria without methylmalonic aciduria
624,Familial multiple nevi flammei
626,Large/giant congenital melanocytic nevus
627,Nance-Horan syndrome
628,Diastrophic dysplasia
629,Short stature due to growth hormone qualitative anomaly
631,Non-acquired isolated growth hormone deficiency
632,Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia
633,Laron syndrome
634,Netherton syndrome
635,Neuroblastoma
636,Neurofibromatosis type 1
637,Full NF2-related schwannomatosis
638,Neurofibromatosis-Noonan syndrome
639,Polyneuropathy associated with IgM monoclonal gammopathy with anti-MAG
640,Hereditary neuropathy with liability to pressure palsies
641,Multifocal motor neuropathy
642,Hereditary sensory and autonomic neuropathy type 4
643,Giant axonal neuropathy
644,NARP syndrome
646,Niemann-Pick disease type C
647,Nijmegen breakage syndrome
648,Noonan syndrome
649,Norrie disease
650,LCAT deficiency
652,Multiple endocrine neoplasia type 1
653,Multiple endocrine neoplasia type 2
654,Nephroblastoma
655,Nephronophthisis
656,Hereditary steroid-resistant nephrotic syndrome
657,Congenital isolated hyperinsulinism
658,Non-histaminic angioedema
659,Mutilating palmoplantar keratoderma with periorificial keratotic plaques
660,Omphalocele
661,Congenital central hypoventilation syndrome
662,Lymphedema with yellow nails
663,Mitochondrial DNA-related progressive external ophthalmoplegia
664,Ornithine transcarbamylase deficiency
666,Osteogenesis imperfecta
667,Autosomal recessive malignant osteopetrosis
