ORPHAcode,simbolo_gen,nombre_gen
130,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1
131,JAK2,Janus kinase 2
131,CALR,calreticulin
131,F5,coagulation factor V
132,BCHE,butyrylcholinesterase
133,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1"
134,ACAT1,acetyl-CoA acetyltransferase 1
136,NOTCH3,notch receptor 3
138,CHD7,chromodomain helicase DNA binding protein 7
138,SEMA3E,semaphorin 3E
139,NSDHL,NAD(P) dependent steroid dehydrogenase-like
140,SOX9,SRY-box transcription factor 9
143,CDC73,cell division cycle 73
144,PMS1,"PMS1 homolog 1, mismatch repair system component"
144,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
144,EPCAM,epithelial cell adhesion molecule
144,PMS2,"PMS1 homolog 2, mismatch repair system component"
144,KRAS,"KRAS proto-oncogene, GTPase"
144,MSH2,mutS homolog 2
144,MSH6,mutS homolog 6
144,MLH1,mutL homolog 1
144,TGFBR2,transforming growth factor beta receptor 2
145,NBN,nibrin
145,TP53,tumor protein p53
145,CHEK2,checkpoint kinase 2
145,PALB2,partner and localizer of BRCA2
145,BRCA1,BRCA1 DNA repair associated
145,BARD1,BRCA1 associated RING domain 1
145,RAD50,RAD50 double strand break repair protein
145,PTEN,phosphatase and tensin homolog
145,MRE11,"MRE11 homolog, double strand break repair nuclease"
145,BRIP1,BRCA1 interacting helicase 1
145,BRCA2,BRCA2 DNA repair associated
145,RAD51,RAD51 recombinase
145,RAD51D,RAD51 paralog D
145,RAD51C,RAD51 paralog C
146,NTRK3,neurotrophic receptor tyrosine kinase 3
146,NTRK1,neurotrophic receptor tyrosine kinase 1
146,KRAS,"KRAS proto-oncogene, GTPase"
146,TERT,telomerase reverse transcriptase
146,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
146,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13
146,DIRC3,disrupted in renal carcinoma 3
146,TRIM27,tripartite motif containing 27
146,HRAS,"HRas proto-oncogene, GTPase"
146,ERC1,ELKS/RAB6-interacting/CAST family member 1
146,LPAR4,lysophosphatidic acid receptor 4
146,FOXE1,forkhead box E1
146,PCM1,pericentriolar material 1
146,NKX2-1,NK2 homeobox 1
146,TFG,trafficking from ER to golgi regulator
146,PPARG,peroxisome proliferator activated receptor gamma
146,CCDC6,coiled-coil domain containing 6
146,ETV6,ETS variant transcription factor 6
146,TRIM24,tripartite motif containing 24
146,NRAS,"NRAS proto-oncogene, GTPase"
146,TPR,"translocated promoter region, nuclear basket protein"
146,NCOA4,nuclear receptor coactivator 4
146,PAX8,paired box 8
146,TRIM33,tripartite motif containing 33
146,GAS8-AS1,GAS8 antisense RNA 1
146,ALK,ALK receptor tyrosine kinase
146,RET,ret proto-oncogene
146,EIF1AX,eukaryotic translation initiation factor 1A X-linked
146,GOLGA5,golgin A5
147,CPS1,carbamoyl-phosphate synthase 1
150,NFKBIA,NFKB inhibitor alpha
154,LMNA,lamin A/C
154,GATAD1,GATA zinc finger domain containing 1
154,TTN,titin
154,DES,desmin
154,CAP2,cyclase associated actin cytoskeleton regulatory protein 2
154,MYPN,myopalladin
154,MYH6,myosin heavy chain 6
154,RPL3L,ribosomal protein L3 like
154,CSRP3,cysteine and glycine rich protein 3
154,MYBPC3,myosin binding protein C3
154,LMOD2,leiomodin 2
154,TCAP,titin-cap
154,PSEN2,presenilin 2
154,PSEN1,presenilin 1
154,CRYAB,crystallin alpha B
154,LAMA4,laminin subunit alpha 4
154,MYH7,myosin heavy chain 7
154,DSG2,desmoglein 2
154,VEZF1,vascular endothelial zinc finger 1
154,ANKRD1,ankyrin repeat domain 1
154,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
154,RBM20,RNA binding motif protein 20
154,TNNC1,"troponin C1, slow skeletal and cardiac type"
154,ABCC9,ATP binding cassette subfamily C member 9
154,PLN,phospholamban
154,NEXN,nexilin F-actin binding protein
