ORPHAcode,simbolo_gen,nombre_gen
96253,TP53,tumor protein p53
96253,USP48,ubiquitin specific peptidase 48
96253,USP8,ubiquitin specific peptidase 8
96253,NR3C1,nuclear receptor subfamily 3 group C member 1
96253,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
96253,ATRX,ATRX chromatin remodeler
96253,CDH23,cadherin related 23
96265,LHCGR,luteinizing hormone/choriogonadotropin receptor
96266,LHCGR,luteinizing hormone/choriogonadotropin receptor
96334,DLK1,delta like non-canonical Notch ligand 1
96334,RTL1,retrotransposon Gag like 1
96334,MEG3,maternally expressed 3
97234,PGAM2,phosphoglycerate mutase 2
97238,CAV3,caveolin 3
97239,FHL1,four and a half LIM domains 1
97240,ACTA1,"actin alpha 1, skeletal muscle"
97244,SELENON,selenoprotein N
97244,ACTA1,"actin alpha 1, skeletal muscle"
97249,PCLO,piccolo presynaptic cytomatrix protein
97279,MEN1,menin 1
97279,YY1,YY1 transcription factor
97286,SDHB,succinate dehydrogenase complex iron sulfur subunit B
97286,SDHC,succinate dehydrogenase complex subunit C
97286,SDHD,succinate dehydrogenase complex subunit D
97297,ASXL1,ASXL transcriptional regulator 1
97338,EWSR1,EWS RNA binding protein 1
97338,CREB1,cAMP responsive element binding protein 1
97338,ATF1,activating transcription factor 1
97345,ITM2B,integral membrane protein 2B
97346,ITM2B,integral membrane protein 2B
97362,PBX1,PBX homeobox 1
97362,PAX2,paired box 2
97363,HNF1B,HNF1 homeobox B
97364,HNF1B,HNF1 homeobox B
97369,ACE,angiotensin I converting enzyme
97369,AGTR1,angiotensin II receptor type 1
97369,REN,renin
97369,AGT,angiotensinogen
97548,GDF1,growth differentiation factor 1
97685,NF1,neurofibromin 1
98434,VKORC1,vitamin K epoxide reductase complex subunit 1
98434,GGCX,gamma-glutamyl carboxylase
98619,P3H2,prolyl 3-hydroxylase 2
98619,SCO2,synthesis of cytochrome C oxidase 2
98619,LRPAP1,LDL receptor related protein associated protein 1
98673,DNM1L,dynamin 1 like
98673,OPA1,OPA1 mitochondrial dynamin like GTPase
98676,RTN4IP1,reticulon 4 interacting protein 1
98676,MCAT,malonyl-CoA-acyl carrier protein transacylase
98676,YME1L1,YME1 like 1 ATPase
98676,ACO2,aconitase 2
98754,MAGEL2,MAGE family member L2
98754,SNRPN,small nuclear ribonucleoprotein polypeptide N
98754,OCA2,OCA2 melanosomal transmembrane protein
98754,NDN,"necdin, MAGE family member"
98755,ATXN1,ataxin 1
98756,ATXN2,ataxin 2
98758,CACNA1A,calcium voltage-gated channel subunit alpha1 A
98759,TBP,TATA-box binding protein
98760,ATXN8OS,ATXN8 opposite strand lncRNA
98760,ATXN8,ataxin 8
98761,ATXN10,ataxin 10
98762,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta
98763,PRKCG,protein kinase C gamma
98764,FGF14,fibroblast growth factor 14
98765,PLEKHG4,pleckstrin homology and RhoGEF domain containing G4
98766,SPTBN2,"spectrin beta, non-erythrocytic 2"
98767,TTBK2,tau tubulin kinase 2
98768,KCNC3,potassium voltage-gated channel subfamily C member 3
98769,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
98771,IFRD1,interferon related developmental regulator 1
98772,KCND3,potassium voltage-gated channel subfamily D member 3
98773,TMEM240,transmembrane protein 240
98784,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit
98784,CRH,corticotropin releasing hormone
98784,CABP4,calcium binding protein 4
98784,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit
98784,KCNT1,potassium sodium-activated channel subfamily T member 1
98784,CHRNB2,cholinergic receptor nicotinic beta 2 subunit
98784,DEPDC5,"DEP domain containing 5, GATOR1 subcomplex subunit"
98791,HBA1,hemoglobin subunit alpha 1
98791,HBA2,hemoglobin subunit alpha 2
98794,UBE3A,ubiquitin protein ligase E3A
98794,OCA2,OCA2 melanosomal transmembrane protein
98795,UBE3A,ubiquitin protein ligase E3A
98805,TUBB4A,tubulin beta 4A class IVa
98806,THAP1,THAP domain containing 1
98807,DYT13,"dystonia 13, torsion"
98808,GCH1,GTP cyclohydrolase 1
98808,IMPDH2,inosine monophosphate dehydrogenase 2
98808,NR4A2,nuclear receptor subfamily 4 group A member 2
98809,PRRT2,proline rich transmembrane protein 2
98809,KCNA1,potassium voltage-gated channel subfamily A member 1
98810,PRRT2,proline rich transmembrane protein 2
98810,PNKD,PNKD metallo-beta-lactamase domain containing
98811,PRRT2,proline rich transmembrane protein 2
98811,SLC2A1,solute carrier family 2 member 1
98813,IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
98813,NFKBIA,NFKB inhibitor alpha
98818,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A
98820,NPRL2,"NPR2 like, GATOR1 complex subunit"
98820,NPRL3,"NPR3 like, GATOR1 complex subunit"
98820,DEPDC5,"DEP domain containing 5, GATOR1 subcomplex subunit"
98823,ASXL1,ASXL transcriptional regulator 1
98823,ETV6,ETS variant transcription factor 6
98823,SRSF2,serine and arginine rich splicing factor 2
98824,CSF3R,colony stimulating factor 3 receptor
98826,TET2,tet methylcytosine dioxygenase 2
98829,MYH11,myosin heavy chain 11
98829,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
98829,CBFB,core-binding factor subunit beta
98829,FLT3,fms related receptor tyrosine kinase 3
98831,KMT2A,lysine methyltransferase 2A
98832,FLT3,fms related receptor tyrosine kinase 3
98833,FLT3,fms related receptor tyrosine kinase 3
98833,NPM1,nucleophosmin 1
98834,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
98834,NPM1,nucleophosmin 1
98834,FLT3,fms related receptor tyrosine kinase 3
98835,KMT2A,lysine methyltransferase 2A
98838,BCL6,BCL6 transcription repressor
98838,XPO1,exportin 1
98839,BCL6,BCL6 transcription repressor
98839,BCL2,BCL2 apoptosis regulator
98842,TYK2,tyrosine kinase 2
98842,NPM1,nucleophosmin 1
98843,KLHDC8B,kelch domain containing 8B
98849,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
98849,SRSF2,serine and arginine rich splicing factor 2
98849,ASXL1,ASXL transcriptional regulator 1
98849,TET2,tet methylcytosine dioxygenase 2
98850,TET2,tet methylcytosine dioxygenase 2
98850,ASXL1,ASXL transcriptional regulator 1
98850,SRSF2,serine and arginine rich splicing factor 2
98850,CBL,Cbl proto-oncogene
98850,RUNX1,RUNX family transcription factor 1
98853,TMEM43,transmembrane protein 43
98853,SYNE2,spectrin repeat containing nuclear envelope protein 2
98853,LMNA,lamin A/C
98853,SYNE1,spectrin repeat containing nuclear envelope protein 1
98855,LMNA,lamin A/C
98856,LMNA,lamin A/C
98863,FHL1,four and a half LIM domains 1
98863,EMD,emerin
98868,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
98869,CDAN1,codanin 1
98869,CDIN1,CDAN1 interacting nuclease 1
98870,KIF23,kinesin family member 23
98870,RACGAP1,Rac GTPase activating protein 1
98873,SEC23B,"SEC23 homolog B, COPII coat complex component"
98880,FGA,fibrinogen alpha chain
98880,FGG,fibrinogen gamma chain
98880,FGB,fibrinogen beta chain
98881,FGA,fibrinogen alpha chain
98881,FGG,fibrinogen gamma chain
98881,FGB,fibrinogen beta chain
98885,GP6,glycoprotein VI platelet
98889,ADGRG1,adhesion G protein-coupled receptor G1
98889,PI4KA,phosphatidylinositol 4-kinase alpha
98889,SRPX2,sushi repeat containing protein X-linked 2
98890,OPA2,optic atrophy 2 (obscure)
98892,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2
98892,MAP1B,microtubule associated protein 1B
98892,TMTC3,transmembrane O-mannosyltransferase targeting cadherins 3
98892,ERMARD,ER membrane associated RNA degradation
98892,FLNA,filamin A
98892,NEDD4L,NEDD4 like E3 ubiquitin protein ligase
98892,ARF1,ADP ribosylation factor 1
98895,DMD,dystrophin
98896,LTBP4,latent transforming growth factor beta binding protein 4
98896,DMD,dystrophin
98897,NOTCH2NLC,notch 2 N-terminal like C
98897,RILPL1,Rab interacting lysosomal protein like 1
98897,LRP12,LDL receptor related protein 12
98897,GIPC1,GIPC PDZ domain containing family member 1
98902,TNNT1,"troponin T1, slow skeletal type"
98904,ACTA1,"actin alpha 1, skeletal muscle"
98905,RYR1,ryanodine receptor 1
98907,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
98908,PNPLA2,patatin like phospholipase domain containing 2
98909,DES,desmin
98911,MYOT,myotilin
98912,LDB3,LIM domain binding 3
98913,COL13A1,collagen type XIII alpha 1 chain
98913,DOK7,docking protein 7
98913,SCN4A,sodium voltage-gated channel alpha subunit 4
98913,CHRND,cholinergic receptor nicotinic delta subunit
98913,CHRNA1,cholinergic receptor nicotinic alpha 1 subunit
98913,CHRNB1,cholinergic receptor nicotinic beta 1 subunit
98913,AGRN,agrin
98913,LRP4,LDL receptor related protein 4
98913,RAPSN,receptor associated protein of the synapse
98913,CHRNA1,cholinergic receptor nicotinic alpha 1 subunit
98913,AK9,adenylate kinase 9
98913,CHRND,cholinergic receptor nicotinic delta subunit
98913,CHRNB1,cholinergic receptor nicotinic beta 1 subunit
98913,CHRNE,cholinergic receptor nicotinic epsilon subunit
98913,MUSK,muscle associated receptor tyrosine kinase
98913,CHRNE,cholinergic receptor nicotinic epsilon subunit
98914,SYT2,synaptotagmin 2
98914,SLC5A7,solute carrier family 5 member 7
98914,MYO9A,myosin IXA
98914,SLC18A3,solute carrier family 18 member A3
98914,SLC25A1,solute carrier family 25 member 1
98914,SNAP25,synaptosome associated protein 25
98914,COL13A1,collagen type XIII alpha 1 chain
98914,AGRN,agrin
98914,CHAT,choline O-acetyltransferase
98914,VAMP1,vesicle associated membrane protein 1
98915,COLQ,collagen like tail subunit of asymmetric acetylcholinesterase
98915,LAMB2,laminin subunit beta 2
98916,PMP22,peripheral myelin protein 22
98920,IGHMBP2,immunoglobulin mu DNA binding protein 2
98933,COQ2,"coenzyme Q2, polyprenyltransferase"
98934,JPH3,junctophilin 3
98938,SHH,sonic hedgehog signaling molecule
98938,SOX2,SRY-box transcription factor 2
98938,RAX,retina and anterior neural fold homeobox
98938,STRA6,signaling receptor and transporter of retinol STRA6
98938,TENM3,teneurin transmembrane protein 3
98938,SIX6,SIX homeobox 6
98938,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
98938,OTX2,orthodenticle homeobox 2
98938,ALDH1A3,aldehyde dehydrogenase 1 family member A3
98938,RBP4,retinol binding protein 4
98938,GDF6,growth differentiation factor 6
98938,VSX2,visual system homeobox 2
98938,PORCN,porcupine O-acyltransferase
98938,GDF3,growth differentiation factor 3
98942,FZD5,frizzled class receptor 5
98942,ACTG1,actin gamma 1
98942,SALL2,spalt like transcription factor 2
98942,PAX6,paired box 6
98942,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
98943,SALL2,spalt like transcription factor 2
98943,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
98943,PAX6,paired box 6
98943,FZD5,frizzled class receptor 5
98944,SALL2,spalt like transcription factor 2
98944,PAX6,paired box 6
98944,FZD5,frizzled class receptor 5
98944,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
98944,ACTG1,actin gamma 1
98945,SALL2,spalt like transcription factor 2
98945,FZD5,frizzled class receptor 5
98945,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
98945,PAX6,paired box 6
98946,FZD5,frizzled class receptor 5
98946,PAX6,paired box 6
98946,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
98946,SALL2,spalt like transcription factor 2
98947,FZD5,frizzled class receptor 5
98947,PAX6,paired box 6
98947,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
98947,SALL2,spalt like transcription factor 2
98949,FREM2,FRAS1 related extracellular matrix 2
98954,KRT12,keratin 12
98954,KRT3,keratin 3
98956,TGFBI,transforming growth factor beta induced
98957,TACSTD2,tumor associated calcium signal transducer 2
98960,TGFBI,transforming growth factor beta induced
98961,TGFBI,transforming growth factor beta induced
98962,TGFBI,transforming growth factor beta induced
98963,TGFBI,transforming growth factor beta induced
98964,TGFBI,transforming growth factor beta induced
98967,UBIAD1,UbiA prenyltransferase domain containing 1
98969,CHST6,carbohydrate sulfotransferase 6
98970,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing"
98973,ZEB1,zinc finger E-box binding homeobox 1
98973,COL8A2,collagen type VIII alpha 2 chain
98973,VSX1,visual system homeobox 1
98973,OVOL2,ovo like zinc finger 2
98973,GRHL2,grainyhead like transcription factor 2
98974,COL8A2,collagen type VIII alpha 2 chain
98974,AGBL1,AGBL carboxypeptidase 1
98974,TCF4,transcription factor 4
98974,SLC4A11,solute carrier family 4 member 11
98974,ZEB1,zinc finger E-box binding homeobox 1
98976,MYOC,myocilin
98976,TEK,TEK receptor tyrosine kinase
98976,CYP1B1,cytochrome P450 family 1 subfamily B member 1
98976,LTBP2,latent transforming growth factor beta binding protein 2
98977,EFEMP1,EGF containing fibulin extracellular matrix protein 1
98977,CYP1B1,cytochrome P450 family 1 subfamily B member 1
98977,MYOC,myocilin
98978,FOXC1,forkhead box C1
98978,PITX2,paired like homeodomain 2
98984,CRYGC,crystallin gamma C
98984,BFSP2,beaded filament structural protein 2
98984,GJA8,gap junction protein alpha 8
98984,CRYGD,crystallin gamma D
98984,MAF,MAF bZIP transcription factor
98984,GJA3,gap junction protein alpha 3
98984,CRYBB1,crystallin beta B1
98984,VIM,vimentin
98984,CRYBB2,crystallin beta B2
98985,CRYGS,crystallin gamma S
98985,BFSP2,beaded filament structural protein 2
98985,MIP,major intrinsic protein of lens fiber
98985,GJA8,gap junction protein alpha 8
98985,CRYBA1,crystallin beta A1
98985,CRYBB2,crystallin beta B2
98988,CRYBA2,crystallin beta A2
98988,CRYAA,crystallin alpha A
98988,CRYBB3,crystallin beta B3
98988,CRYGB,crystallin gamma B
98989,MIP,major intrinsic protein of lens fiber
98989,MAF,MAF bZIP transcription factor
98989,CRYGD,crystallin gamma D
98989,CRYBB2,crystallin beta B2
98990,CRYGD,crystallin gamma D
98991,CRYAA,crystallin alpha A
98991,EPHA2,EPH receptor A2
98991,CRYAB,crystallin alpha B
98991,GJA3,gap junction protein alpha 3
98991,CRYBA1,crystallin beta A1
98991,CRYBA2,crystallin beta A2
98991,GJA8,gap junction protein alpha 8
98991,CRYGD,crystallin gamma D
98991,UNC45B,unc-45 myosin chaperone B
98991,FYCO1,FYVE and coiled-coil domain autophagy adaptor 1
98991,CRYBB2,crystallin beta B2
98991,CRYBB3,crystallin beta B3
98991,WFS1,wolframin ER transmembrane glycoprotein
98991,BFSP1,beaded filament structural protein 1
98991,CRYGC,crystallin gamma C
98991,MIP,major intrinsic protein of lens fiber
98991,CRYBB1,crystallin beta B1
98991,NHS,NHS actin remodeling regulator
98993,GJA3,gap junction protein alpha 3
98993,CHMP4B,charged multivesicular body protein 4B
98993,PANK4,pantothenate kinase 4 (inactive)
98993,PITX3,paired like homeodomain 3
98993,MIP,major intrinsic protein of lens fiber
98993,CRYAB,crystallin alpha B
98993,CRYBA1,crystallin beta A1
98993,EPHA2,EPH receptor A2
98994,PGRMC1,progesterone receptor membrane component 1
98994,SIPA1L3,signal induced proliferation associated 1 like 3
98994,AGK,acylglycerol kinase
98994,NHS,NHS actin remodeling regulator
98994,LSS,lanosterol synthase
98994,EPHA2,EPH receptor A2
98994,CRYAA,crystallin alpha A
98994,GCNT2,glucosaminyl (N-acetyl) transferase 2 (I blood group)
98994,CRYGB,crystallin gamma B
98994,HSF4,heat shock transcription factor 4
98994,MIP,major intrinsic protein of lens fiber
98994,GJA8,gap junction protein alpha 8
98994,LIM2,lens intrinsic membrane protein 2
98994,LEMD2,LEM domain nuclear envelope protein 2
98994,DNMBP,dynamin binding protein
98994,FYCO1,FYVE and coiled-coil domain autophagy adaptor 1
98994,CRYBB2,crystallin beta B2
99000,IMPG2,interphotoreceptor matrix proteoglycan 2
99000,PRPH2,peripherin 2
99000,BEST1,bestrophin 1
99000,IMPG1,interphotoreceptor matrix proteoglycan 1
99001,PRPH2,peripherin 2
99001,CTNNA1,catenin alpha 1
99001,OTX2,orthodenticle homeobox 2
99002,RCBTB1,RCC1 and BTB domain containing protein 1
99003,PRPH2,peripherin 2
99013,SPG7,"SPG7 matrix AAA peptidase subunit, paraplegin"
99014,PRPS1,phosphoribosyl pyrophosphate synthetase 1
99015,PLP1,proteolipid protein 1
99027,LMNB1,lamin B1
99042,CFC1,"cryptic, EGF-CFC family member 1"
99067,CRELD1,cysteine rich with EGF like domains 1
99067,GATA6,GATA binding protein 6
99067,GATA4,GATA binding protein 4
99067,NR2F2,nuclear receptor subfamily 2 group F member 2
99068,NR2F2,nuclear receptor subfamily 2 group F member 2
99068,GATA4,GATA binding protein 4
99068,CRELD1,cysteine rich with EGF like domains 1
99103,GATA4,GATA binding protein 4
99103,MYH6,myosin heavy chain 6
99103,TLL1,tolloid like 1
99103,GATA6,GATA binding protein 6
99103,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
99103,NKX2-5,NK2 homeobox 5
99103,TBX20,T-box transcription factor 20
99103,TBX20,T-box transcription factor 20
99103,ACTC1,actin alpha cardiac muscle 1
99105,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
99106,TLL1,tolloid like 1
99141,PTPN14,protein tyrosine phosphatase non-receptor type 14
99361,NTRK1,neurotrophic receptor tyrosine kinase 1
99361,ESR2,estrogen receptor 2
99361,RET,ret proto-oncogene
99429,AR,androgen receptor
99646,IDH1,isocitrate dehydrogenase (NADP(+)) 1
99657,HPCA,hippocalcin
99704,NTRK2,neurotrophic receptor tyrosine kinase 2
99718,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
99718,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
99718,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
99725,AIP,aryl hydrocarbon receptor interacting protein
99725,MEN1,menin 1
99731,SUOX,sulfite oxidase
99734,SCN4A,sodium voltage-gated channel alpha subunit 4
99735,SCN4A,sodium voltage-gated channel alpha subunit 4
99736,SCN4A,sodium voltage-gated channel alpha subunit 4
99741,RYR1,ryanodine receptor 1
99742,SLC25A19,solute carrier family 25 member 19
99749,HAX1,HCLS1 associated protein X-1
99756,PAX7,paired box 7
99756,FOXO1,forkhead box O1
99756,NF1,neurofibromin 1
99756,PAX3,paired box 3
99756,TP53,tumor protein p53
99757,NF1,neurofibromin 1
99757,TP53,tumor protein p53
99757,SLC22A18,solute carrier family 22 member 18
99757,DICER1,"dicer 1, ribonuclease III"
99771,GRHL3,grainyhead like transcription factor 3
99771,UBB,ubiquitin B
99772,UBB,ubiquitin B
99772,GRHL3,grainyhead like transcription factor 3
99789,DSPP,dentin sialophosphoprotein
99789,SSUH2,ssu-2 homolog
99789,VPS4B,vacuolar protein sorting 4 homolog B
99791,DSPP,dentin sialophosphoprotein
99796,EML1,EMAP like 1
99796,DCX,doublecortin
99796,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1
99798,PAX9,paired box 9
99798,TGFA,transforming growth factor alpha
99798,AXIN2,axin 2
99798,WNT10B,Wnt family member 10B
99798,MSX1,msh homeobox 1
99798,FGFR1,fibroblast growth factor receptor 1
99798,EDARADD,EDAR associated via death domain
99798,IRF6,interferon regulatory factor 6
99798,SUMO1,small ubiquitin like modifier 1
99798,LRP6,LDL receptor related protein 6
99798,WNT10A,Wnt family member 10A
99798,EDA,ectodysplasin A
99802,MTOR,mechanistic target of rapamycin kinase
99802,AKT3,AKT serine/threonine kinase 3
99802,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
99803,ASCL1,achaete-scute family bHLH transcription factor 1
99803,RET,ret proto-oncogene
99803,PHOX2B,paired like homeobox 2B
99806,FGF3,fibroblast growth factor 3
99806,FADD,Fas associated via death domain
99807,CCDC88A,coiled-coil domain containing 88A
99810,COLGALT1,collagen beta(1-O)galactosyltransferase 1
99810,COL4A2,collagen type IV alpha 2 chain
99810,COL4A1,collagen type IV alpha 1 chain
99811,FLNA,filamin A
99812,LIG4,DNA ligase 4
99812,XRCC4,X-ray repair cross complementing 4
99818,APC,APC regulator of WNT signaling pathway
99819,TSHR,thyroid stimulating hormone receptor
99832,TRHR,thyrotropin releasing hormone receptor
99842,ITGB2,integrin subunit beta 2
99843,SLC35C1,solute carrier family 35 member C1
99844,FERMT3,FERM domain containing kindlin 3
99845,LPIN1,lipin 1
99845,OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF"
99845,MT-CO1,mitochondrially encoded cytochrome c oxidase I
99845,MT-CO3,mitochondrially encoded cytochrome c oxidase III
99849,ENO3,enolase 3
99852,SLC7A2-IT1,SLC7A2 intronic transcript 1
99853,AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
99853,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma
99853,EIF2B4,eukaryotic translation initiation factor 2B subunit delta
99853,EIF2B2,eukaryotic translation initiation factor 2B subunit beta
99853,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha
99853,EIF2B5,eukaryotic translation initiation factor 2B subunit epsilon
99854,EIF2B5,eukaryotic translation initiation factor 2B subunit epsilon
99854,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma
99854,EIF2B2,eukaryotic translation initiation factor 2B subunit beta
99854,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha
99854,EIF2B4,eukaryotic translation initiation factor 2B subunit delta
99861,TLX1,T cell leukemia homeobox 1
99861,TLX3,T cell leukemia homeobox 3
99861,TRB,T-cell receptor beta locus
99861,PICALM,phosphatidylinositol binding clathrin assembly protein
99861,BCR,BCR activator of RhoGEF and GTPase
99861,DDX3X,DEAD-box helicase 3 X-linked
99861,STIL,STIL centriolar assembly protein
99861,TRD,T-cell receptor delta locus
99861,TRA,T-cell receptor alpha locus
99861,SET,SET nuclear proto-oncogene
99861,TRG,T-cell receptor gamma locus
99861,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
99861,ZBTB16,zinc finger and BTB domain containing 16
99861,CDKN2A,cyclin dependent kinase inhibitor 2A
99861,FLT3,fms related receptor tyrosine kinase 3
99861,NUP214,nucleoporin 214
99861,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
99861,SALL2,spalt like transcription factor 2
99861,MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor
99861,MYB,"MYB proto-oncogene, transcription factor"
99861,MYC,"MYC proto-oncogene, bHLH transcription factor"
99861,TCL1A,TCL1 family AKT coactivator A
99861,CNOT3,CCR4-NOT transcription complex subunit 3
99879,MEN1,menin 1
99879,CDC73,cell division cycle 73
99879,GCM2,glial cells missing transcription factor 2
99880,CDC73,cell division cycle 73
99885,GCK,glucokinase
99885,STAT3,signal transducer and activator of transcription 3
99885,PDX1,pancreatic and duodenal homeobox 1
99885,INS,insulin
99885,ABCC8,ATP binding cassette subfamily C member 8
99885,KCNJ11,potassium inwardly rectifying channel subfamily J member 11
99886,ABCC8,ATP binding cassette subfamily C member 8
99886,PLAGL1,PLAG1 like zinc finger 1
99886,HYMAI,hydatidiform mole associated and imprinted
99886,KCNJ11,potassium inwardly rectifying channel subfamily J member 11
99886,ZFP57,ZFP57 zinc finger protein
99887,GATA1,GATA binding protein 1
99898,IFNGR1,interferon gamma receptor 1
99901,ACAD9,acyl-CoA dehydrogenase family member 9
99914,DICER1,"dicer 1, ribonuclease III"
99915,FOXL2,forkhead box L2
99915,DICER1,"dicer 1, ribonuclease III"
99916,DICER1,"dicer 1, ribonuclease III"
99936,RAB7A,"RAB7A, member RAS oncogene family"
99937,TRPV4,transient receptor potential cation channel subfamily V member 4
99938,GARS1,glycyl-tRNA synthetase 1
99939,NEFL,neurofilament light chain
99940,HSPB1,heat shock protein family B (small) member 1
99942,MPZ,myelin protein zero
99943,MPZ,myelin protein zero
99944,GDAP1,ganglioside induced differentiation associated protein 1
99945,HSPB8,heat shock protein family B (small) member 8
99946,KIF1B,kinesin family member 1B
99947,MFN2,mitofusin 2
99948,GDAP1,ganglioside induced differentiation associated protein 1
99949,SH3TC2,SH3 domain and tetratricopeptide repeats 2
99950,NDRG1,N-myc downstream regulated 1
99951,EGR2,early growth response 2
99952,PRX,periaxin
99953,HK1,hexokinase 1
99954,FGD4,"FYVE, RhoGEF and PH domain containing 4"
99955,MTMR2,myotubularin related protein 2
99956,SBF2,SET binding factor 2
99960,ATP8B1,ATPase phospholipid transporting 8B1
99961,ABCB11,ATP binding cassette subfamily B member 11
99966,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
99967,FUS,FUS RNA binding protein
99967,DDIT3,DNA damage inducible transcript 3
99970,CDK4,cyclin dependent kinase 4
99970,MDM2,MDM2 proto-oncogene
99970,HMGA2,high mobility group AT-hook 2
99971,MDM2,MDM2 proto-oncogene
99971,HMGA2,high mobility group AT-hook 2
99971,CDK4,cyclin dependent kinase 4
99977,DLEC1,DLEC1 cilia and flagella associated protein
99977,WWOX,WW domain containing oxidoreductase
99977,RNF6,ring finger protein 6
99977,TGFBR2,transforming growth factor beta receptor 2
99989,KCNJ11,potassium inwardly rectifying channel subfamily J member 11
100006,APP,amyloid beta precursor protein
100008,CST3,cystatin C
100019,TET2,tet methylcytosine dioxygenase 2
100020,TET2,tet methylcytosine dioxygenase 2
100031,RELT,RELT TNF receptor
100031,SP6,Sp6 transcription factor
100031,AMBN,ameloblastin
100031,LAMB3,laminin subunit beta 3
100031,ITGB6,integrin subunit beta 6
100031,ENAM,enamelin
100031,ACP4,acid phosphatase 4
100032,SLC24A4,solute carrier family 24 member 4
100032,FAM83H,family with sequence similarity 83 member H
100032,AMTN,amelotin
100032,ITGB6,integrin subunit beta 6
100033,ODAPH,odontogenesis associated phosphoprotein
100033,SLC24A4,solute carrier family 24 member 4
100033,MMP20,matrix metallopeptidase 20
100033,KLK4,kallikrein related peptidase 4
100033,AMELX,amelogenin X-linked
100033,GPR68,G protein-coupled receptor 68
100033,WDR72,WD repeat domain 72
100034,DLX3,distal-less homeobox 3
100044,DNM2,dynamin 2
100045,YARS1,tyrosyl-tRNA synthetase 1
100046,MPZ,myelin protein zero
100050,SERPING1,serpin family G member 1
100051,SERPING1,serpin family G member 1
100054,F12,coagulation factor XII
100057,XPNPEP2,X-prolyl aminopeptidase 2
100069,C9ORF72,C9orf72-SMCR8 complex subunit
100069,GRN,granulin precursor
100069,CHMP2B,charged multivesicular body protein 2B
100069,MAPT,microtubule associated protein tau
100069,TMEM106B,transmembrane protein 106B
100069,PSEN1,presenilin 1
100069,TREM2,triggering receptor expressed on myeloid cells 2
100070,GRN,granulin precursor
100070,VCP,valosin containing protein
100070,TMEM106B,transmembrane protein 106B
100070,MAPT,microtubule associated protein tau
100070,C9ORF72,C9orf72-SMCR8 complex subunit
100070,CHMP2B,charged multivesicular body protein 2B
100070,TREM2,triggering receptor expressed on myeloid cells 2
100070,PSEN1,presenilin 1
100075,ATRX,ATRX chromatin remodeler
100093,SDHD,succinate dehydrogenase complex subunit D
100924,ALAD,aminolevulinate dehydratase
100973,AFF2,ALF transcription elongation factor 2
100973,FMR3,fragile X mental retardation associated 3
100974,TMEM185A,transmembrane protein 185A
100976,TGM1,transglutaminase 1
100984,ATL1,atlastin GTPase 1
100985,SPAST,spastin
100986,CYP7B1,cytochrome P450 family 7 subfamily B member 1
100988,NIPA1,NIPA magnesium transporter 1
100989,WASHC5,WASH complex subunit 5
100991,KIF5A,kinesin family member 5A
100993,UBAP1,ubiquitin associated protein 1
100993,RTN2,reticulon 2
100994,HSPD1,heat shock protein family D (Hsp60) member 1
